judul,berita
"
                    PNM Minta Suntikan Rp1,5 T untuk Raih Target 6,6 Juta Nasabah                ","
                        Jakarta, CNN Indonesia -- ,
,
, ,
                                                ,
                    "
"
                    Ramai Nasabah, Bank Bukopin Batasi Antrean 150 Orang per Hari                ","
                        Jakarta, CNN Indonesia -- ,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
, ,
                                                ,
                    "
"
                    Bank BUMN Incar Kredit Rp90 T, Tripel dari Celengan Negara                ","
                        Jakarta, CNN Indonesia -- ,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
, ,
                                                ,
                    "
"
                    Rerata Harga Pasar Koin Rp1.000 Sawit Viral Cuma Rp2.000                ","
                        Jakarta, CNN Indonesia -- ,
,
, ,
                                                ,
                    "
"
                    Rupiah Melorot ke Rp14.270 Jelang Rilis Inflasi Siang Ini                ","
                        Jakarta, CNN Indonesia -- ,
,
,
,
,
,
,
,
,
,
,
,
,
,
, ,
                                                ,
                    "
"
                    Rupiah Keok ke Rp14.282 per dolar AS pada Rabu Sore                ","
                        Jakarta, CNN Indonesia -- ,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
, ,
                                                ,
                    "
"
                    Koin Rp1.000 Bergambar Kelapa Sawit Dijual Online Rp100 Juta                ","
                        Jakarta, CNN Indonesia -- ,
,
, ,
                                                ,
                    "
"
                    Iuran BPJS Kesehatan Naik, 49 Ribu Peserta Turun Kelas                ","
                        Jakarta, CNN Indonesia -- ,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
, ,
                                                ,
                    "
"
                    Akses UMKM Terbatas, KUR Belum Terserap Capai Rp129 T                ","
                        Jakarta, CNN Indonesia -- Menteri Koperasi dan UMKM, mengakui , masih kesulitan mengakses,maupun pembiayaan. Hal itu tercermin dari alokasi KUR yang belum terserap hingga saat ini mencapai Rp129 triliun atau 67,8 persen dari total alokasi, Rp190 triliun.,"",-nya, saya akui, masih belum mudah bagi UMKM untuk mengakses ke sana (KUR dan pembiayaan),"" ujar Teten dalam keterangan resmi, dikutip Sabtu (13/6).,Padahal, sumber pembiayaan UMKM dari pemerintah cukup banyak. Selain KUR yang memiliki bunga 6 persen, ada pembiayaan yang disalurkan lewat BLU pemerintah di berbagai kementerian, sebesar Rp30 triliun.,
,
,Selain itu, banyak perusahaan fintech yang sudah membantu usaha mikro dan kecil yang tidak bisa mengakses perbankan,""Kalau ini disinergikan, yaitu seluruh sumber pembiayaan dari pemerintah dan swasta (fintech), tentu akan sangat besar manfaatnya bagi UMKM (untuk) naik kelar,"" ujar Teten.,Menurut Teten, krisis ekonomi akibat Covid-19 ini berbeda dengan krisis di medio 1998. Saat ini, justru UMKM menjadi sektor yang paling terdampak, baik dari sisi pasokan maupun permintaan.,Ketika sisi permintaan terpukul, pembiayaan digelontorkan dan relaksasi pembiayaan dilakukan untuk meringankan arus kas UMKM berpotensi menjadi kredit macet.,Oleh karena itu, Teten menganggap langkah untuk menciptakan permintaan adalah sesuatu yang penting.,Sementara itu, Wakil Ketua Umum Kadin Indonesia Bobby Gafur menyatakan, masih banyak UMKM yang belum mampu mengakses dana perbankan karena sulitnya memenuhi persyaratan, terutama terkait agunan.,""Dengan adanya perusahaan fintech, seharusnya , di perbankan akan terpotong. Di ,, kita bisa melihat kinerja UMKM dari trading history yang sudah dihasilkan"", kata Bobby.,Menurut Bobby, dengan analisa digital di ,, fintech merupakan pintu baru bagi UMKM untuk dapat mengakses permodalan.,""Bahkan, saya mengusulkan, dengan masih sulitnya UMKM mengakses KUR, bank pelaksana KUR bisa bekerja sama dengan perusahaan Fintech"", jelas Bobby.,""Selama ini juga kita sudah biasa dan sering membiayai UMKM,"" aku Bernard., ,
                                                ,
                    "
"
                    Operasi Usus Buntu yang Dijalani Yogi Lancar Berkat JKN-KIS                ","
                        Jakarta, CNN Indonesia -- Yogi Anmaris pernah tidak menjaga pola makan dengan benar. Dia baru merasakan akibatnya setelah harus menjalani operasi usus buntu. Untungnya, Yogi terdaftar sebagai peserta Jaminan Kesehatan Nasional-Kartu Indonesia Sehat segmen peserta Pekerja Penerima Upah (PPU).,""Bulan Oktober lalu, untuk pertama kalinya saya menjalani operasi usus buntu. Semua ini terjadi karena kebiasaan pola makan saya yang salah. Dari dulu, saya suka makan makanan yang pedas, di mana sebelumnya saya juga belum makan nasi ditambah lagi saya sering mengonsumsi kopi. Di situ lah saya merasa menjaga pola makan itu sesuatu yang penting, dan sama pentingnya kita memiliki jaminan kesehatan"" ujar Yogi, Kamis (5/6).,Yogi mengisahkan, saat itu tiba-tiba perutnya merasakan sakit yang belum pernah ia alami. Ia menjalani kegiatan di kampus seperti biasa, namun sakit itu malah makin terasa hingga keesokan hari. Yogi jadi takut karena setelah minum soda, perutnya justru seperti terbakar.,""Awalnya saya kira karena cuma tidak bisa buang angin. Ternyata paginya saya masih merasakan sakit dan malah tambah sakit di bagian perut. Saya merasa ini sakit perut biasa, makanya saya beranikan diri untuk tetap kuliah. Sesampainya di kelas kerena perut saya masih sakit akhirnya saya coba untuk meminum minuman bersoda, dengan asumsi harapannya bisa keluar angin yang ada di dalam tubuh saya. Setelah bisa buang angin tapi kok lama-lama rasanya seperti terbakar di perut saya,"" ungkapnya.,
,
,Dengan terpaksa, Yogi memeriksakan diri. Ditemani sang ayah, ia disambut baik oleh petugas rumah sakit. Sementara ayahnya mengurus keperluan administrasi, Yogi langsung diperiksa lebih lanjut ke Unit Gawat Darurat. Menurutnya, sekalipun dirawat berbekal kartu JKN-KIS, dirinya tak pernah menemukan pembedaan pelayanan dengan pasien umum.,Mahasiswa Universitas Negeri Jakarta itu mengaku merasa bersyukur, berkat kepesertaan di Program JKN-KIS dirinya bisa mendapatkan tindak medis tanpa mengeluarkan biaya sama sekali. Lebih lanjut, Yogi menganjurkan bagi masyarakat Indonesia yang belum mendaftar agar segera menjadi peserta Program JKN-KIS yang dikelola oleh BPJS Kesehatan. Ia mengingatkan bahwa memiliki jaminana kesehatan tak perlu menunggu jatuh sakit.,""Sebelum operasi pelayanan yang diberikan pun dan sangat cepat dalam mempersiapkan segalanya, perawatannya saya rasakan tidak ada masalah dan tidak mendiskriminasi,"" ujar Yogi, mengingat pengalaman tak menyenangkan itu.,Yogi menambahkan, ""Butuh enggak butuh, setiap orang harus punya yang namanya jaminan kesehatan, karena sakit tidak ada yang tahu kapan dan waktunya. Menurut saya, jaminan kesehatan dari pemerintah ini merupakan jaminan kesehatan termurah dibandingkan jaminan kesehatan lainnya di luar sana."" ,
                                                ,
                    "
