judul,berita
,
,
,
,
"Tergerus Ponsel, Bagaimana Produsen Kamera Digital Bertahan?"," - Gempuran  , pintar atau  , yang menghadirkan kamera dengan resolusi tinggi dan cenderung lebih murah, membuat penjualan kamera dari tahun ke tahun mengalami penurunan.,Agar pasar kamera tidak tergerus, produsen kamera terpaksa harus putar otak untuk melawan smartphone dengan menghadirkan produk-produk yang lebih canggih.,Mengutip Kontan.co.id, Senin (29/6/2020), misalnya yang dilakukan PT Datascrip Indonesia. Distributor tunggal kamera Canon di Indonesia mencatat adanya penurunan permintaan di pasar kamera sebesar 50 persen di kuartal I 2020.,Sintra Wong, Assistent Director Marketing Division Canon Business Unit PT Datascrip bilang, meskipun penjualan turun pihaknya optimis pasar kamera digital masih menjanjikan, mengingat berbagai kebutuhan khusus dalam fotografi masih belum bisa dipenuhi oleh kamera ponsel.,""Seperti fotografi aksi kecepatan tinggi, pengambilan foto dalam kondisi minim cahaya, ataupun jarak pengambilan foto yang jauh,"" katanya kepada KONTAN, Jumat (26/6).Nah, untuk bertahan dari gempuran kamera smartphone yang canggih dan lebih murah itu, Canon berkonsentrasi melahirkan produk berteknologi tinggi, yang tidak dapat dilakukan kamera smartphone.,Canon akan berkonsentrasi untuk menghadirkan produk inovatif untuk memenuhi kebutuhan pengambilan foto dan video berkualitas tinggi dalam berbagai kondisi pemotretan. ""Yang tidak dapat dilakukan dengan kamera ponsel,"" tandasnya.,Tahun lalu, Datascrip mencatat semua kategori mengalami penurunan penjualan, termasuk kategori kamera mirrorless.,Penurunan total pasar kamera digital tahun 2019 turun sekitar 25 persen dibandingkan 2018. Di mana, Datascript membidik target penjualan kamera mirorless Canon sebesar 40 persen dari total penjualan atau di kisaran angka 48.000 unit. Sedangkan saat ini, penjualan Canon sebagian besar masih didominasi oleh penjualan kamera DSLR.,Camera & Imaging Products Association (CIPA) mencatat, sejak tahun 2010 penjualan kamera digital terus menurun.,Turunnya penjualan kamera digital disebabkan oleh banyaknya smartphone dengan kamera yang cukup canggih dan memberikan banyak fitur seperti kamera digital pada umumnya. Apalagi harga telepon selular pintar tak berbeda jauh dengan harga kamera digital.,Produsen kamera lainnya yakni, PT Fujifilm Indonesia yang pasar kamera low-endnya tergerus produk kamera dari smartphone. Namun, Marketing Manager Electronic Imaging Division Fujifilm Indonesia, Anggiawan Pratama yakin, penjualan dapat kembali terangkat.,Alasannya, saat ini Fujifilm terus berinovasi menciptakan produk dengan kualitas yang lebih unggul dari smartphone.,""Kami yakin pasar digital camera tidak akan hilang, melainkan ke depannya akan beralih ke kamera digital kelas high-end,"" pungkasnya.,Terkait dengan pandemi, Anggiawan bilang, bahwa performa penjualan semakin menurun. Dibandingkan tahun lalu, penjualan sejak Maret turun sampai 70 persen.,""Sebelum pandemi penjualan kami masih cukup baik. Kami berharap saat new normal ekonomi dan penjualan perlahan pulih,"" tandasnya., "
,
,
Netflix dkk Wajib Laporkan Pungutan Pajak Per 3 Bulan," , luar negeri (perusahaan digital Netflix, Spotify dll) yang menjual barang digital wajib memungut dan menyetor pajak pertambahan nilai (PPN) sebesar 10 persen atas barang/jasa yang dibeli konsumen. Untuk mengawasi penyetoran pajak konsumen itu, otoritas pajak menetapkan subjek pajak luar negeri (SPLN) untuk melaporkan setoran PPN per tiga bulan.,Ketentuan tersebut sebagaimana dalam Peraturan Direktur Jenderal Pajak Nomor PER-12/PJ/2020 tentang Batasan Kriteria Tertentu Pemungut serta Penunjukan Pemungut, Pemungutan, Penyetoran, dan Pelaporan Pajak Pertambahan Nilai Atas Pemanfaatan Barang Kena Pajak Tidak Berwujud dan/atau Jasa Kena Pajak dari Luar Daerah Pabean di Dalam Daerah Pabean Melalui Perdagangan Melalui Sistem Elektronik.,Beleid tersebut menyebutkan, , luar negeri wajib melaporkan PPN yang telah dipungut dan telah disetorkan secara kuartalan untuk periode tiga masa pajak, paling lama akhir bulan setelah periode kuartal berakhir.,Periode kuartal sebagaimana dimaksud PER-Dirjen Pajak tersebut terdiri atas. Pertama, kuartal I-2020 yakni masa pajak Januari sampai dengan Maret. Kedua, kuartal II-2020 yakni masa pajak April sampai Juni. Ketiga, masa pajak Juli sampai dengan September. Keempat, kuartal IV-2020 masa pajak Oktober sampai Desember.,Adapun dokumen yang dilaporkan SPLN dalam Perdagangan Melalui Sistem Elektronik (PMSE) tersebut antara lain paling sedikit memuat jumlah pembeli, jumlah pembayaran tidak termasuk PPN yang dipungut, jumlah PPN yang dipungut, dan jumlah PPN yang telah disetorkan.,“Laporan sebagaimana dimaksud pada ayat (1) diperlakukan sebagai Surat Pemberitahuan, yang selanjutnya disebut SPT Masa PPN PMSE,” sebagaimana pasal 15 ayat 5 PER-Dirjen Pajak Nomor PER-12/PJ/2020.,Namun, apabila setelah laporan kuartalan dilaporkan diketahui terdapat kekurangan atau kelebihan PPN, pemungut PPN PMSE wajib melakukan pembetulan laporan kuartal yang bersangkutan. Pembetulan laporan PPN PMSE tersebut atas permintaan Direktur Jenderal Pajak, di mana pemungut PPN PMSE wajib menyampaikan laporan rincian transaksi PPN yang dipungut untuk setiap periode satu tahun kalender.,“Permintaan sebagaimana dimaksud pada ayat (8) dilimpahkan kewenangannya kepada Kepala Kantor Pelayanan Pajak tempat Pemungut PPN PMSE terdaftar,” sebagaimana pasal 15 ayat 9 PER-Dirjen Pajak Nomor PER-12/PJ/2020.,Laporan rincian transaksi sebagaimana dimaksud paling sedikit memuat, nomor dan tanggal bukti pungut PPN, jumlah pembayaran, tidak termasuk PPN yang dipungut, pada setiap bukti pungut PPN, dan jumlah PPN yang dipungut pada setiap bukti pungut PPN.,Kemudian, nama dan Nomor Pokok Wajib Pajak Pembeli, dalam hal bukti pungut PPN mencantumkan nama dan Nomor Pokok Wajib Pajak Pembeli, dan nomor telepon, alamat posel (emaiij, atau identitas lain Pembeli.,Informasi saja, Ditjen Pajak menetapkan SPLN PMSE yang bakal memungut PPN per awal Agustus nanti memiliki dua kriteria. Pertama, pelaku usaha , luar negeri yang dalam kurun waktu dua belas bulan memiliki nilai transaksi penjualan produk digital kepada pembeli di Indonesia melebihi Rp 600 juta dalam satu tahun atau Rp 50 juta dalam satu bulan.,Kedua, memiliki jumlah traffic atau pengakses di Indonesia melebihi 12 ribu dalam satu tahun atau seribu dalam satu bulan dapat ditunjuk sebagai pemungut pajak pertambahan nilai. ,Artikel ini telah tayang di , dengan judul: "
,
,
