judul,berita
"UMKM Sumbang 61 Persen ke PDB, Tapi Nilai Ekspor UMKM Masih Rendah"," Direktur Jenderal Pengembangan Ekspor Nasional (PEN) Kementerian Perdagangan, Kasan mencatat, nilai ekspor Usaha Mikro Kecil dan Menengah (UMKM) masih kecil, yakni di kisaran 14 persen dari total ekspor nonmigas. Padahal, UMKM menyumbang 61,07 persen dari total produk domestik bruto (PDB).,""Dari data BPS dan juga Kementerian Koperasi, jumlah UKM kita itu sekitar 64 juta lebih, kontribusinya ke PDB itu hampir 61 persen, jadi cukup besar. Namun melihat dari sisi ekspor, UKM ini relatif kecil peranannya, sekitar 14 persen. Tentu ini menjadi sebuah catatan yang menjadi dasar kenapa UMKM harus ekspor,"" ujar Kasan dalam webinar MarkPlus Government Roundtable Series 5 : UKM Digital - Masa Depan Keberlanjutan Ekspor Indonesia, Senin (29/6).,Keharusan ekspor ini, kata Kiasan, karena potensi pasar ekspor jauh lebih besar jika dibandingkan dengan potensi pasar domestik yang juga sudah cukup besar dan melibatkan setidaknya 269 juta jiwa. ""Tapi kalau kita bicara ekspor, di luar itu marketnya jauh lebih besar. Jadi kalau ini sudah besar secara domestik, untuk pasar ekspor jauh lebih besar,"" imbuhnya.,Selain itu, Kasan menambahkan pentingnya UMKM untuk melakukan digitalisasi adalah sebagai konsekuensi dari perkembangan teknologi, di mana pola konsumsi masyarakat mulai beralih ke digital, utamanya saat pemberlakuan Pembatasan Sosial Berskala Besar (PSBB) akibat pandemi Covid-19.,Menurutnya, penting bagi pelaku UMKM untuk dapat melihat perubahan pola konsumsi ini dan menyikapinya dengan cermat, sehingga tetap bisa mengikuti pergerakan pasar dan memaksimalkan produksi.,""Selama pandemi Covid-19, terjadi sebuah fenomena perubahan lifestyle masyarakat, bahkan rumah katanya menjadi pusat seluruh kegiatan seseorang pada saat kita kemarin work from home,"" beber Kasan.,Reporter: Pipit Ika Ramadhani,Sumber: Liputan6.com "
"Dampak Corona, Produski Rokok Diprediksi Turun Hingga 23 Persen"," Setiap bidang usaha dan sektor industri mulai bersiap untuk beradaptasi dalam proses interaksi sosial maupun operasional dalam memasuki era kenormalam baru atau new normal. Bagi sektor industri padat karya seperti Industri Hasil Tembakau (IHT), momentum ini perlu disikapi dengan penuh kehati-hatian.,Sebab, belakangan sektor ini tengah digempur dengan berbagai kebijakan yang restriktif, di mana salah satu yang paling memberatkan adalah mandat terkait IHT dalam Rencana Pembangunan Jangka Menengah Nasional (RPJMN) 2020-2024.,Ketua Gabungan Perserikatan Pabrik Rokok Indonesia (GAPPRI), Henry Najoan mengatakan bahwa pihaknya telah memprediksi akan ada penurunan signifikan pada produksi rokok akibat merosotnya penjualan rokok di tengah pandemi Covid-19 yang belum usai.,""Pada tahun 2020 ini, estimasi penerimaan negara dari cukai akan sama dengan tahun 2019 atau sekitar Rp165 triliun, sementara penurunan volume produksi dari IHT justru akan turun 13-23 persen,"" kata dia di ,.,""Saat ini di tengah kenormalan baru, GAPPRI berharap pemerintah tidak akan menerbitkan kebijakan-kebijakan yang justru menghambat recovery industry seperti kenaikan cukai, simplifikasi struktur cukai, dan revisi PP 109/2012. Pemerintah diharapkan membantu sepenuhnya untuk menjamin ketersediaan bahan baku yang dibutuhkan pabrikan baik secara kualitas, kuantitas, varietas dan kontinuitas,"" lanjut dia.,Ketua Umum FSP RTMM-SPSI, Sudarto klaim bahwa pengenaan cukai bisa menurunkan prevalensi perokok anak dan konsumsi makanan yang berisiko kesehatan dianggap tidak tepat sasaran.,""Hendaknya pemerintah tidak melihat isu kesehatan secara sempit. Justru yang harus dikuatkan adalah peningkatan pengawasan dan penegakan disiplin atas distribusi dan akses masyarakat terhadap produknya,"" ungkap dia.,""Perbanyak edukasi, sosialisasi ke tingkat akar rumput agar konsumen paham bahwa produk tembakau hanya bisa dikonsumsi orang dewasa. Saya kira pemerintah sudah jelas mengatur di PP 109 Tahun 2012 untuk produk tembakau dan aturan ini sudah lebih dari cukup, tugas selanjutnya adalah memastikan implementasi di lapangan berjalan tertib, jangan terus merevisi poin saja tapi praktiknya nihil,"" tegasnya.,Diskon rokok dinilai sejumlah pihak sebagai kebijakan yang ambigu seiring diperbaharuinya peraturan cukai rokok yang tertuang dalam Peraturan Menteri Keuangan (PMK) Nomor 152/PMK.010/2019 tentang Perubahan Kedua atas PMK Nomor 146/PMK.010/2017 tentang Tarif Cukai Hasil Tembakau.,Dalam PMK teranyar ini, rata-rata kenaikan tarif CHT tahun 2020 sebesar 21,55 persen. Namun, secara bersamaan, ketentuan dari PMK No 146/PMK.010/2017 yang disebut sebagai ""diskon"" rokok, juga masih berlaku.,Menanggapi hal itu, Plt Kepala Pusat Kebijakan Pendapatan Negara (PKPN) Badan Kebijakan Fiskal (BKF) Kemenkeu, Oka Kusumawardani mengatakan bahwa tak ada aturan mengenai diskon rokok dalam peraturan pemerintah.,""Kalau dalam peraturannya sendiri itu tidak ada keterangan apapun yang menyatakan bahwa peraturan itu dimaksudkan untuk memberi diskon, juga tidak dimaksudkan agar rokok itu harganya jadi lebih murah, itu tidak ada sama sekali dalam peraturan tersebut,"" kata Oka dalam diskusi daring, Kamis (18/6).,Menurut dia, otoritas fiskal memberikan aturan harga jual akhir rokok ke konsumen boleh 85 persen dari harga jual eceran (HJE) demi memberi ruang gerak pada produsen.,""Jadi setelah diproduksi itu tentunya ada jalur distribusi untuk menyampaikan produk tersebut, ke wholesaler-nya, ke ritel, sampai akhirnya baru ke konsumen akhir, dan aktivitas mata rantai ini untuk distribusi tentunya kan juga memerlukan biaya di masing-masing tahapannya,"" kata Oka.,""Untuk memungkinkan rantai distribusi ini menjalankan fungsinya dengan baik maka perlu ada ruang gerak di dalamnya, oleh karena itu maka pemerintah melalui PMK 146 tersebut juga mengatur bahwa harga transaksi pasar diperkenankan untuk berada di bawah HJE, 85 persen dari KEnya,"" tutup dia.,Reporter: Pipit Ika,Sumber: , "
"Pertumbuhan Ekonomi Dunia Diprediksi Negatif di Kuartal II-2020, Termasuk RI"," Menteri Keuangan , memprediksi pertumbuhan ekonomi negara-negara di dunia merosot tajam pada kuartal II-2020. Bahkan hal tersebut juga akan dialami oleh negara-negara maju yang selama ini memiliki ekonomi yang kokoh.,""Kalau semua negara kuartal II, negara maju merosot sangat tajam, AS bisa mendekati negatif 10 persen, Inggris 15 persen,"" ujar , saat memberikan paparan dalam diskusi daring bersama BNPB, ,, Selasa (30/6).,""Jerman negatif 11 persen, Prancis negatif 17 persen, Jepang 8 persen bahkan India yang dianggap negara berkembang sama seperti Indonesia yang tumbuh cukup tinggi diperkirakan kontraksi bisa 12 persen,"" sambungnya.,Dia mengatakan, kondisi tersebut menjadi tantangan bagi Indonesia secara khusus. Sebab, Indonesia dalam menangani pandemi Virus Corona juga melakukan berbagai strategi yaitu dengan menerapkan Pembatasan Sosial Berskala Besar (PSBB) yang kemudian memberi dampak bagi ekonomi.,""Ini yang menjadi tantangan bagi kita semua. Indonesia pun nanti akan terpengaruh dengan PSBB atau berbagai langkah-langkah yang kemudian mempengaruhi ekonomi kita kuartal II, negatifnya bisa 3,8 persen, bandingkan dengan negara maju tadi,"" jelasnya.,Mantan Direktur Pelaksana Bank Dunia tersebut menambahkan, pemerintah terus mengantisipasi dampak penyebaran virus terhadap pertumbuhan ekonomi. ""Namun ini berbasis indikator yang kita bisa track. Kita akan lihat waktu BPS menyampaikan angka pasti kuartal II di awal Agustus,"" tandasnya. "
Bos OJK Harap Penempatan Dana Rp30 Triliun ke Bank Himbara Bantu Pulihkan Ekonomi," Otoritas Jasa Keuangan (OJK) mengharapkan penempatan dana senilai Rp30 triliun oleh pemerintah di bank-bank Himbara bisa membantu memulihkan kondisi perekonomian nasional.,""Ini bentuk perhatian dan dorongan kepada perbankan untuk lebih agresif dalam percepatan pemberian kredit untuk recovery ekonomi,"" kata Ketua Dewan Komisioner OJK, Wimboh Santoso dalam Rapat Dengar Pendapat dengan Komisi XI DPR-RI dikutip dari Antara di ,, Senin (29/6).,Wimboh mengatakan, bank-bank yang mendapatkan dana ini bisa segera merumuskan rencana bisnis untuk menyalurkan kredit kepada sektor riil, khususnya kepada UMKM.,Namun, dia mengingatkan dalam kondisi seperti ini masih ada sektor jasa yang masih terdampak Covid-19 yang belum bisa memperoleh pendapatan tetap seperti pariwisata dan perhotelan.,""Poin ini penting dan kami pantau bersama dengan perbankan. Kami juga minta hati-hati untuk alokasi sektor yang bisa diberikan dan bisa menyerap tenaga kerja,"" katanya.,Selain itu, Wimboh menambahkan program penempatan dana ini sudah selaras dengan perkembangan program restrukturisasi kredit yang mulai melandai realisasinya pada Juni.,Dengan demikian, perbankan terutama Himbara bisa mulai fokus untuk menyalurkan pembiayaan agar kegiatan perekonomian di sektor riil dapat berjalan kembali.,""Sudah waktunya kami minta perbankan mulai memberikan kredit kepada debitur yang melakukan restrukturisasi maupun yang tidak, meski yang melakukan restrukturisasi butuh perhatian khusus,"" ujarnya.,Dalam kesempatan ini, Gubernur Bank Indonesia (BI) Perry Warjiyo mengatakan kebijakan penempatan dana pemerintah di empat bank Himbara bisa memulihkan kondisi perekonomian.,Dia menyakini penempatan dana ini bisa bersinergi dengan program penambahan likuiditas (QE) yang sudah dilakukan bank sentral untuk memperkuat modal perbankan.,""Langkah ini sejalan dengan Quantitative Easing yang sudah dilakukan hingga Rp614 triliun. Kebijakan itu dengan langkah-langkah erat lainnya bisa segera memulihkan ekonomi,"" ujarnya.,Sebelumnya, pemerintah menempatkan dana sebesar Rp30 triliun pada bank Himbara dalam rangka mendorong percepatan pemulihan ekonomi nasional terutama untuk sektor riil.,Empat bank milik negara yang terpilih sebagai mitra pemerintah yaitu Bank BRI, Bank Mandiri, BNI, dan BTN. "
Pemerintah Cairkan Rp429 M Anggaran Renovasi Rumah 5 KSPN Prioritas Untuk Homestay," Kementerian Pekerjaan Umum dan Perumahan Rakyat (PUPR) terus melaksanakan penataan di 5 Kawasan Strategis Pariwisata Nasional (KSPN) Prioritas yakni Danau Toba, Borobudur, Mandalika, Labuan Bajo dan Manado - Likupang. Salah satunya dengan mendorong pelaksanaan Program Sarana Hunian Pariwisata (Sarhunta).,Menteri PUPR, ,, mengatakan jelang fase kenormalan normal baru atau new normal pemerintah fokus pada dua hal yakni penanganan kesehatan dan pemulihan ekonomi. Untuk mendukung pemulihan ekonomi, pemerintah akan memfokuskan penataan di sektor pariwisata.,""Dalam tatanan normal baru untuk hidup berdamai dengan Pandemi COVID-19, pemerintah meyakini bahwa sektor ekonomi utama yang dapat rebound dengan cepat adalah sektor pariwisata. Untuk itu, tidak ada kegiatan pembangunan infrastruktur pada 5 KSPN yang dihentikan,"" kata Menteri PUPR, ,, dalam pernyataannya di ,, Selasa (30/6).,Menurutnya, program Sarhunta merupakan rangkaian kegiatan Program Bantuan Stimulan Perumahan Swadaya (BSPS) untuk 2.750 unit rumah tidak laik huni agar bisa menjadi homestay. Desain Sarhunta harus mencerminkan adat daerah setempat.,Namun desain dapat dimodifikasi menjadi lebih modern, tetapi tidak meninggalkan kearifan lokal. Cara ini sebagai upaya menarik minat wisatawan domestik maupun mancanegara untuk meningap di hunian tersebut.,Program Sarhunta dilaksanakan di KSPN Danau Toba Sumatera Utara sebanyak 1.000 unit, KSPN Borobudur Jawa Tengah 350 unit, KSPN Mandalika Nusa Tenggara Barat (NTB) 500 unit, KSPN Labuan Bajo 600 unit dan KSPN Manado - Likupang Sulawesi Utara 300 unit. Total anggaran program ini sebesar Rp429,23 miliar.,Untuk kriteria penerima manfaat yakni Warga Negara Indonesia (WNI) yang sudah berkeluarga, memiliki rumah tidak laik huni atau tanah dengan bukti kepemilikan, berpenghasilan paling tinggi senilai 1,5 kali dari Upah Minimum Provinsi (UMP) dan masyarakat mampu berswadaya dan gotong royong. Di samping itu, dalam pembangunannya kan dibantu oleh tiga tenaga ahli yakni tenaga ahli pemberdayaan, tenaga ahli sipil dan tenaga ahli arsitektur.,Pembangunan Sarhunta dibagi menjadi dua yakni pertama, peningkatan kualitas rumah tidak laik huni menjadi laik huni sebagai Sarhunta serta peningkatan kualitas rumah tidak laik huni disepanjang koridor menuju lokasi pariwisata. Untuk program peningkatan kualitas bantuan diberikan sebesar Rp90 juta.,""Sedangkan untuk pembangunan rumah baru, pembangunan kembali ataupun perbaikan rumah tradisional di kawasan pariwisata dengan jumlah bantuan maksimal Rp180 juta,"" imbuhnya.,Di NTB, Program Sarhunta dilaksanakan di dua lokasi yakni KSPN Mandalika di Kabupaten Lombok Tengah dan Kawasan Tiga Gili di Kabupaten Lombok Utara. Di Kabupaten Lombok Tengah alokasi untuk homestay atau kegiatan pariwisata sebanyak 122 unit dengan rincian peningkatan kualitas sebanyak 63 unit dan pembangunan baru sebanyak 59 unit. Selain itu, 208 rumah yang berada pada jalur utama menuju kawasan pariwisata (koridor) juga akan mendapat bantuan bedah rumah.,Di Kawasan Tiga Gili Lombok Utara sebanyak 170 unit dengan rincian peningkatan kualitas sebanyak 18 unit dan pembangunan baru sebanyak 54 unit serta sebanyak 98 unit masih dalam tahap verifikasi lapangan., "
"Bantu Penanganan Corona, Aice Group Sebar APD untuk 13 Rumah Sakit Rujukan"," Aice Group bersama dengan Gerakan Pemuda Ansor mendistribusikan Alat Perlindungan Diri (APD) ke 13 Rumah Sakit Rujukan dan satu Instalasi Peristirahatan Tenaga Medis Covid-19. Upaya ini merupakan misi kemanusiaan bersama dalam langkah penanganan virus Corona.,""APD disalurkan terdiri dari Baju Hazmat, Kacamata Goggle, Masker Medis, dan Alat Pengukur Suhu Tubuh (Thermo-Gun),"" ata Brand Manager Aice Group, Sylvana Zhong, Senin (29/6).,Dia mengatakan, pihaknya juga melakukan kerja sama pembagian paket bahan pokok kepada warga Mojokerto. Lebih dari 600 paket bahan pokok telah didistribusikan oleh Barisan Ansor Serbaguna (Banser) dan Aice Group kepada warga terdampak di sekitar pabrik es krim ini di Kabupaten Mojokerto, Jawa Timur.,""Bantuan sembako ini didistribusikan kepada warga terdampak di Desa Lolawang dan Kutogirang, serta ke Panti Asuhan Trawas,"" jelas dia.,Selain itu, perusahaan juga memberikan lebih dari 800 paket bantuan pangan berupa bahan pokok ke beberapa Pondok Pesantren, Majelis Taklim dan Panti Asuhan yang berada di sekitar wilayah operasi Aice di Cikarang, Bekasi.,Adapun dalam bantuan ini keduanya melibatkan para kader Bantuan Serbaguna Ansor (Banser) bersama karyawan pabrikan es krim Aice dan mendistribusikan bahan pokok ke berbagai warga di Desa Telajung Cikarang, Bekasi, serta ke beberapa pondok pesantren dan Lembaga Panti Asuhan, diantaranya, Pondok Pesantren Nurul Huda Al Yaquty, Yayasan Amanah Rosul dan Yayasan Almujahidin di Cikarang, Bekasi.,Pada saat yang sama, gerakan Pemuda Ansor dan karyawan Aice Group kembali melanjutkan misi kemanusiaan dengan melakukan giat sosial dalam melakukan kegiatan disinfektan rumah ibadah yang berlokasi di Cikarang, Bekasi. Kegiatan yang dimulai pada pukul 10.00 pagi ini akan menyasar sarana ibadah,""Secara serentak ada di lima titik dan kemudian dilanjutkan dengan pembagian sejumlah bahan pokok dan masker bagi warga setempat serta bagi para pengurus tempat ibadah tersebut,"" tandas dia. "
"DPR Setuju Pemerintah Cicil Utang ke Pupuk Indonesia Rp5,7 Triliun Tahun Ini"," Wakil Ketua Komisi VI, Gde Sumarjaya Linggih menegaskan bahwa DPR RI menyetujui pencairan utang pemerintah ke PT Pupuk Indonesia (Persero) tahun anggaran 2020 sebesar Rp5,7 triliun untuk penyaluran pupuk bersubsidi sesuai penugasan Indonesia. Cicilan utang tersebut merupakan bagian utang sebesar Rp17,1 triliun.,""Komisi VI DPR RI menyetujui pencairan utang pemerintah ke PT Pupuk Indonesia (Persero) tahun Anggaran 2020 sebesar Rp5,7 triliun,"" ujar Gde dalam rapat kerja dengan PT Pupuk Indonesia, ,, Senin (29/6).,Gde melanjutkan, DPR RI memaklumi kondisi keuangan perusahaan dan meminta PT Pupuk Indonesia (Persero) untuk menjalankan dengan rencana strategi bisnis dan inisiatif perusahaan untuk menanggulangi dampak Covid-19.,Beberapa langkah yang perlu dilakukan antara lain pertama, melakukan efisiensi biaya operasional. Kedua memastikan ketersediaan dan stok pupuk subsidi sesuai alokasi penugasan dari Pemerintah.,""Ketiga, Pupuk Indonesia harus menjaga kualitas dan kuantitas stok pupuk di gudang, distributor dan kios serta terus memonitor kebutuhan petani di lapangan,"" paparnya.,DPR juga meminta Pupuk Indonesia untuk memaksimalkan shipping out atau zero stock di Gudang lini pabrik untuk mengantisipasi kendala logistik jika ada lockdown untuk menjamin ketersediaan pupuk di wilayah pemasaran.,Badan Usaha Milik Negara (BUMN) berlomba-lomba mengungkap jumlah utang yang belum dibayarkan oleh pemerintah dalam kurun waktu beberapa tahun terakhir. Tak ketinggalan, Pupuk Indonesia juga memiliki piutang terhadap pemerintah sebesar Rp17,1 triliun yang terakumulasi sejak 2017.,Direktur Utama Pupuk Indonesia, Aas Asikin Idat merinci jumlah piutang tersebut tersebar di beberapa anak usaha. Pertama, PT Petrokimia Gresik (PKG) Rp10,8 triliun, PT Pupuk Kalimantan Timur (PKT) Rp1,8 triliun, PT Pupuk Sriwidjaja Palembang (PSP) Rp2,1 triliun, PT Pupuk Kujang Cikampek (PKC) Rp1,3 triliun, dan PT Pupuk Iskandar Muda Rp1,05 triliun (PIM).,""Tagihan ini adalah untuk realisasi tahun 2017, 2018, 2019, dan 2020. Hanya yang 2020 ini sifatnya masih year-audited, karena masih tahun berjalan. Yang sudah diaudit BPK itu 2017 hingga 2019,"" ujar Asikin dalam rapat terbuka dengan DPR, Jakarta, Senin (29/6).,Dalam menjalankan penugasan menyediakan pupuk subsidi bagi rakyat, selama ini PT Pupuk terpaksa harus meminjam modal kerja kepada perbankan. Namun demikian, keputusan tersebut menyebabkan pembengkakan pembayaran karena akan menimbulkan beban bunga bagi perusahaan.,""Karena uang ini tertahan di pemerintah untuk tagihan ini, agar perusahaan bisa berjalan kami pinjam dulu dalam bentuk modal kerja. Hanya saja ini berdampak, ini akan menyebabkan meningkatnya beban bunga perusahaan,"" jelasnya.,Untuk itu, pihaknya berharap pemerintah segera melunasi utang. Hal ini untuk membantu keuangan perusahaan. ""Pencairan utang pemerintah kepada PT Pupuk Indonesia untuk tahun 2020 pertama adalah untuk meningkatkan mobilitas kondisi keuangan perusahaan,"" tandasnya. "
"Mei 2020, Kunjungan Turis Ke Indonesia Hanya 163.000 Orang"," Badan Pusat Statistik (BPS) mencatat jumlah wisatawan mancanegara (wisman) yang datang ke Indonesia pada pada Mei 2020 hanya mencapai 163.600 orang. Posisi ini meningkat 3,10 persen dibandingkan bulan sebelumnya. Sementara untuk periode yang sama di 2019, mengalami penurunan tajam sebesar minus 86,90 persen.,""Kenaikan terjadi di beberapa tempat tapi penurunan tinggi terjadi hampir di semua pintu masuk,"" kata Kepala BPS, Suhariyanto, di Kantor BPS, , Pusat, Rabu (1/7).,Dia mengatakan, dari jumlah kunjungan turis tersebut yang menggunakan transportasi darat tercatat sebanyak 114,7 ribu orang atau 70,1 persen. Sementara untuk sektor laut tercatat 48,4 ribu orang atau sebesar 29,6 persen.,""Angkutan udara hampir mendekati nol sebesar 0,3 persen,"" imbuh dia.,Sementara itu, menurut kebangsaan jumlah wisman pada Mei 2020 berasal dari Timor Leste sebesar 49,8 persen. Posisi kedua diikuti oleh Malaysia sebanyak 40,6 persen dan China 1,2 persen.,""Kalau kita bandingkan tahun lalu hampir negara kebangsaan terjadi penurunan tajam. Kuwait, Yaman hampir 100 persen. Secara mtm (month to month) masih ada beberapa wisman yang datang ke Indonesia dari Afrika Selatan meski kecil kemudian Belanda dan Kanada meski sisi absolut belum besar,"" jelas dia.,Dia menyadari, sektor pariwisata berdampak sangat dalam akibat pandemi Covid-19. Di mana dampak itu sudah dirasakan sejak Februari meski pemerintah menyampaikan kasus pertama pada Maret lalu.,""Kita harapkan ke depan recovery dari sektor pariwisata bisa berjalan mulus,"" tandas dia. "
"Indeks Kesiapan Digital UMKM Di Jabodetabek Masih Tahap Menengah, Ini Penyebabnya"," Hasil Survei Katadata mencatat bahwa indeks kesiapan digital UMKM Jabodetabek masih ada di tahap menengah. Dari skala tertinggi 5, indeks kesiapan digital dari UMKM memiliki nilai rata-rata 3,6. Beberapa indikator yang digunakan untuk mengukur Indeks Kesiapan Digital dari UMKM tersebut, yaitu indikator optimisme, kompetensi, keamanan, dan kenyamanan.,Menanggapi itu, Menteri Koperasi dan UMKM, , mengatakan, ada banyak faktor yang membuat pelaku UMKM yang belum masuk memanfaatkan platform digital sebagai alternatif pasar di masa pandemi Covid-19.Ternyata akses internet tidak selalu menjadi indikator keberhasilan mendorong pelaku UMKM terhubung dengan market online.,""Ada banyak faktor keberhasilan atau kegagalan UMKM masuk ke platform digital. Saya kira bukan semata terhubung market online,"" kata Teten dalam Webinar bertajuk Jaga UMKM Indonesia: Kebangkitan UMKM Di Era Pandemi Covid-19, ,, Jumat (26/6).,Teten menjelaskan, pelaku UMKM yang masuk platform digital harus bersaing dengan sesama pelapak online dengan produk yang berkualitas. Apalagi mereka juga harus bersaing dengan produk dari brand ternama.,""Apalagi yang punya brand image bagus, sama aja kalau di offline, yang gede juga masuk ke market online,"" kata Teten.,Kapasitas produksi UMKM juga menjadi hambatan lainnya. Berjualan di platform digital menuntut pelaku UMKM untuk menyediakan produk dalam jumlah besar karena menghadapi pasar berskala nasional. Sementara mereka mengalami keterbatasan modal.,""Nah mereka enggak punya stok, makanya mereka tidak bisa penuhi permintaan pasar,,"" kata Teten.,Selain itu, pelaku UMKM kata Teten biasanya mengerjakan produksinya sendiri. Mulai dari pembuat produk sampai penjualan. Sedangkan dalam catatan berbagai platform digital menunjukkan hanya 4-10 persen pelaku UMKM yang bisa bertahan setelah masuk ke market online ini.,""Keberhasilannya dalam catatan e-commerce 4-10 persen yang bisa bertahan,"" kaya dia.,Untuk itu, Mantan Kepala Staf Kepresidenan ini mengatakan perlu adanya pendampingan dan edukasi untuk pelaku UMKM yang sudah masuk platform digital. Namun, pemerintah juga merasa berat jika harus melakukan semua itu sendirian.,Sisi lain, Teten menilai keberadaan reseller cukup membantu penjualan produk UMKM. Apalagi banyak dari reseller ini berangkat dari kalangan muda seperti mahasiswa atau pelajar. Anak muda yang melek teknologi ini kata Teten perlu dimanfaatkan keberadaannya.,""Mereka bisa jadi reseller dan mereka tahu bagaimana caranya cari market,"" ujar Teten.,Terlepas dari itu semua, Teten menilai tren UMKM di Indonesia terlalu banyak. Sehingga pemerintah berpikiran untuk melakukan konsolidasi produk-produk kecil untuk menjadi brand dan bisa masuk pasar yang besar. ""Kita berpikir untuk mengkonsolidasi produk kecil untuk jadi market yang besar,"" kata Teten. "
"Tak Dilunasi Sejak 2017, Utang Pemerintah ke Pupuk Indonesia Bengkak Jadi Rp17,1 T"," Badan Usaha Milik Negara (BUMN) berlomba-lomba mengungkap jumlah utang yang belum dibayarkan oleh pemerintah dalam kurun waktu beberapa tahun terakhir. Tak ketinggalan, Pupuk Indonesia juga memiliki piutang terhadap pemerintah sebesar Rp17,1 triliun yang terakumulasi sejak 2017.,Direktur Utama Pupuk Indonesia, Aas Asikin Idat merinci jumlah piutang tersebut tersebar di beberapa anak usaha. Pertama, PT Petrokimia Gresik (PKG) Rp10,8 triliun, PT Pupuk Kalimantan Timur (PKT) Rp1,8 triliun, PT Pupuk Sriwidjaja Palembang (PSP) Rp2,1 triliun, PT Pupuk Kujang Cikampek (PKC) Rp1,3 triliun, dan PT Pupuk Iskandar Muda Rp1,05 triliun (PIM).,""Tagihan ini adalah untuk realisasi tahun 2017, 2018, 2019, dan 2020. Hanya yang 2020 ini sifatnya masih year-audited, karena masih tahun berjalan. Yang sudah diaudit BPK itu 2017 hingga 2019,"" ujar Asikin dalam rapat terbuka dengan DPR, ,, Senin (29/6).,Dalam menjalankan penugasan menyediakan pupuk subsidi bagi rakyat, selama ini PT Pupuk terpaksa harus meminjam modal kerja kepada perbankan. Namun demikian, keputusan tersebut menyebabkan pembengkakan pembayaran karena akan menimbulkan beban bunga bagi perusahaan.,""Karena uang ini tertahan di pemerintah untuk tagihan ini, agar perusahaan bisa berjalan kami pinjam dulu dalam bentuk modal kerja. Hanya saja ini berdampak, ini akan menyebabkan meningkatnya beban bunga perusahaan,"" jelasnya.,Untuk itu, pihaknya berharap pemerintah segera melunasi utang. Hal ini untuk membantu keuangan perusahaan. ""Pencairan utang pemerintah kepada PT Pupuk Indonesia untuk tahun 2020 pertama adalah untuk meningkatkan mobilitas kondisi keuangan perusahaan,"" tandasnya.,Direktur Utama Perum Badan Urusan Logistik (Bulog), Budi Waseso menagih utang pemerintah sebesar Rp2,61 triliun. Utang tersebut merupakan kompilasi penugasan pelaksanaan Cadangan Stabilitas Harga Pangan (CSHP) gula 2019 dan penyaluran Cadangan Beras Pemerintah (CBP).,""Masih terdapat saldo utang pemerintah kepada Perum Bulog 2020 yang belum dibayarkan sampai Juni 2020 sebesar Rp2,61 triliun yang terdiri penyaluran CBP sebesar Rp1,26 triliun dan CSHP gula 2019 sebesar Rp1,35 triliun,"" ujarnya dalam rapat bersama DPR, Jakarta, Senin (29/6).,Budi Waseso mengatakan, pemerintah memang telah berupaya membayar sebagian utang yang sudah menumpuk sejak 2018. Namun jumlahnya hingga Juni 2020, baru mencapai sekitar Rp566 miliar.,""Pencairan utang pemerintah, realisasi pembayaran utang pemerintah kurun waktu Januari sampai Juni 2020 sebesar Rp566 miliar. Mencakup pembayaran atas pelaksanaan CSHP gula 2018 dan sebagian penyaluran CBP 2019,"" paparnya.,Mantan Kepala Badan Narkotika Nasional (BNN) tersebut menambahkan, pembayaran utang oleh pemerintah sangat dibutuhkan dalam masa sulit seperti saat ini. Hal tersebut agar perusahaan tetap dapat menjalankan sejumlah strategi bisnis.,""Mengingat pencairan utang pemerintah kepada Bulog sangat penting dan berdampak pada arus kas perusahaan, kami sangat berharap agar pelunasan utang pemerintah kepada perum Bulog dapat segara dilakukan,"" tandasnya. "
